2022-08-11 15:46:01,342| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 15:46:01,349| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 8 
2022-08-11 15:49:33,049| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| | 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| inprogress| HTMLFormSimplePCV| | 2 
2022-08-11 15:49:41,170| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| joe| 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| success| HTMLFormSimplePCV| | 5 
2022-08-11 15:49:42,648| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| HTMLFormSimplePCV| | 1 
2022-08-11 15:49:51,811| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
2022-08-11 15:49:51,839| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 29 
2022-08-11 16:03:15,492| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| | 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| inprogress| HTMLFormSimplePCV| | 4 
2022-08-11 16:03:30,876| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| AUTHN_ATTEMPT| joe| 127.0.0.1 | | ac_client| | marinoduran-r.attlocal.net| IdP| success| HTMLFormSimplePCV| | 5 
2022-08-11 16:03:32,216| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| HTMLFormSimplePCV| | 1 
2022-08-11 16:03:48,746| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 0 
2022-08-11 16:03:48,773| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| joe| 127.0.0.1 | | ac_client| OAuth20| marinoduran-r.attlocal.net| AS| success| | | 27 
2022-08-11 16:04:08,830| tid:gZLnhKVVsr2TcT_vc4ZE7NwlRko| OAuth| | 127.0.0.1 | | tx_client| OAuth20| marinoduran-r.attlocal.net| AS| inprogress| | | 1 
